Pname;Park_Drop_Down;Datum;Wochentag;Tourtag;CC;Land;Ccount_Link;RCDB_Link;CoasterCloud_Link;Park_Maps_G;Park_Web;FB_Link;Insta_Link;Park_Map_P;Hotel_Web;Hotel_Maps;ortslink W;Wetter_H;Wetter_M;Wetter_3;Wetter_7;Wetter_Radar
Edelwies;Tag 1 - Sa 20.06, Edelwies;2026-06-20;Sa;1;4;DE;https://coaster-count.com/catalogue/europe/germany/edelwies-11040/coasters;https://rcdb.com/13367.htm;https://coaster.cloud/de/parks/7bb7c445-natur-und-freizeitpark-edelwies;https://www.google.com/maps/search/edelwies+freizeitpark/@48.9754553,12.7712558,830m/data=!3m2!1e3!4b1?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcwNi4wIKXMDSoASAFQAw%3D%3D;https://www.edelwies.com/;https://www.facebook.com/edelwiesneukirchen/;https://www.instagram.com/edelwies_freizeitpark/;https://assets.edelwies.com/2026/03/Edelwies-Parkplan-2026.pdf;https://www.dormero.de/hotel-deggendorf/;https://www.google.com/maps/place/DORMERO+Hotel+Deggendorf/@48.8526422,12.9602952,748m/data=!3m2!1e3!4b1!4m9!3m8!1s0x4775116eaa155555:0x9e10606a3e3a880c!5m2!4m1!1i2!8m2!3d48.8526422!4d12.9602952!16s%2Fg%2F11fkx_sn_3?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D;deutschland/neukirchen-haggn/DE0007368.html;https://wetter.com/deutschland/neukirchen-haggn/DE0007368.html;https://wetter.com/wetter_aktuell/wettervorhersage/morgen/deutschland/neukirchen-haggn/DE0007368.html;https://wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/neukirchen-haggn/DE0007368.html;https://wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/deutschland/neukirchen-haggn/DE0007368.html;https://wetter.com/regenradar/deutschland/neukirchen-haggn/DE0007368.html
Rodelparadies St. Englmar;Tag 1 - Sa 20.06., Rodelparadies St. Englmar;2026-06-20;Sa;1;2;DE;https://coaster-count.com/catalogue/europe/germany/ski-und-rodelarena-wasserkuppe-1364/coasters;https://rcdb.com/5892.htm;https://coaster.cloud/de/parks/d9d92754-rodel-und-freizeitparadies-sankt-englmar;https://www.google.com/maps/place/Wasser-Reifenrutsche/@49.011229,12.797775,829m/data=!3m1!1e3!4m14!1m7!3m6!1s0x477541878e237057:0x70ca56ddb6d1ba33!2sRodelbahn+St.+Englmar+GmbH!8m2!3d49.011229!4d12.797775!16s%2Fg%2F1vfzc_cx!3m5!1s0x477541003944d191:0xbf38e696c104b1ff!8m2!3d49.0117821!4d12.79825!16s%2Fg%2F11x85tbsty?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcwOS4wIKXMDSoASAFQAw%3D%3D;https://www.ski-und-rodelarena-wasserkuppe.de/;https://www.facebook.com/wasserkuppe;https://www.instagram.com/skiundrodelwasserkuppe/;;https://www.dormero.de/hotel-deggendorf/;https://www.google.com/maps/place/DORMERO+Hotel+Deggendorf/@48.8526422,12.9602952,748m/data=!3m2!1e3!4b1!4m9!3m8!1s0x4775116eaa155555:0x9e10606a3e3a880c!5m2!4m1!1i2!8m2!3d48.8526422!4d12.9602952!16s%2Fg%2F11fkx_sn_3?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D;deutschland/st-englmar/DE0009231.html;https://wetter.com/deutschland/st-englmar/DE0009231.html;https://wetter.com/wetter_aktuell/wettervorhersage/morgen/deutschland/st-englmar/DE0009231.html;https://wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/deutschland/st-englmar/DE0009231.html;https://wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/deutschland/st-englmar/DE0009231.html;https://wetter.com/regenradar/deutschland/st-englmar/DE0009231.html
Fantasiana;Tag 2 - So 21.06., Fantasiana;2026-06-21;So;2;2;AT;https://coaster-count.com/catalogue/europe/austria/fantasiana-1063/coasters;https://rcdb.com/5591.htm;https://coaster.cloud/de/parks/475537e0-fantasiana-erlebnispark-strasswalchen;https://www.google.com/maps/place/FANTASIANA+Erlebnispark+Stra%C3%9Fwalchen/@47.98538,13.2748157,846m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47742035b47f3ab5:0xb033e4cd2550feb0!8m2!3d47.98538!4d13.2748157!16s%2Fg%2F1tf3mr6g?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcwOS4wIKXMDSoASAFQAw%3D%3D;https://www.erlebnispark.at/;https://www.facebook.com/fantasiana.at/;https://www.instagram.com/fantasiana_at/;https://www.erlebnispark.at/pdf/PARK%20Broschuere25.pdf;https://www.educare.co.at/de/?utm_campaign=Adwords&gad_source=1&gad_campaignid=181949820&gbraid=0AAAAADvPMlSaqv1KW1blY-XJ6xYDOUmaI&gclid=CjwKCAjw6MPRBhBTEiwAd-7Mr9V88W5_Ayb6_vNrqT2QGEO0o2bOUiypffdFVlSR693ZT5I6OhmklxoCh7IQAvD_BwE;https://www.google.com/maps/place/Hotel+eduCARE/@46.6568995,13.8814788,928m/data=!3m1!1e3!4m9!3m8!1s0x4770811de0bfaff7:0x9783fddc8022bd90!5m2!4m1!1i2!8m2!3d46.6564517!4d13.8822888!16s%2Fg%2F1tq4pxfm?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D;oesterreich/strasswalchen/AT2764172.html;https://wetter.com/oesterreich/strasswalchen/AT2764172.html;https://wetter.com/wetter_aktuell/wettervorhersage/morgen/oesterreich/strasswalchen/AT2764172.html;https://wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/oesterreich/strasswalchen/AT2764172.html;https://wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/oesterreich/strasswalchen/AT2764172.html;https://wetter.com/regenradar/oesterreich/strasswalchen/AT2764172.html
Zinkenlifte Hallein;Tag 2 - So 21.06., Zinkenlifte Hallein;2026-06-21;So;2;1;AT;https://coaster-count.com/catalogue/europe/austria/zinkenlifte-bad-durrnberg-10346/coasters;https://rcdb.com/13021.htm;;google.com/maps/place/47.659046,13.093342/@47.659046,13.093342,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d47.659046!4d13.093342;https://duerrnberg.at/sommer/sommerrodelbahn/;https://www.facebook.com/zinkenlifte/;https://www.instagram.com/zinkenlifte_duerrnberg/;;https://www.educare.co.at/de/?utm_campaign=Adwords&gad_source=1&gad_campaignid=181949820&gbraid=0AAAAADvPMlSaqv1KW1blY-XJ6xYDOUmaI&gclid=CjwKCAjw6MPRBhBTEiwAd-7Mr9V88W5_Ayb6_vNrqT2QGEO0o2bOUiypffdFVlSR693ZT5I6OhmklxoCh7IQAvD_BwE;https://www.google.com/maps/place/Hotel+eduCARE/@46.6568995,13.8814788,928m/data=!3m1!1e3!4m9!3m8!1s0x4770811de0bfaff7:0x9783fddc8022bd90!5m2!4m1!1i2!8m2!3d46.6564517!4d13.8822888!16s%2Fg%2F1tq4pxfm?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D;oesterreich/bad-duerrnberg/ATAT30220001.html;https://www.wetter.com/oesterreich/bad-duerrnberg/ATAT30220001.html;https://www.wetter.com/wetter_aktuell/wettervorhersage/morgen/oesterreich/bad-duerrnberg/ATAT30220001.html;https://www.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/oesterreich/bad-duerrnberg/ATAT30220001.html;https://www.wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/oesterreich/bad-duerrnberg/ATAT30220001.html;https://www.wetter.com/regenradar/oesterreich/bad-duerrnberg/ATAT30220001.html
Osteria Ai Pioppi*;Tag 3 - Mo 22.06., Osteria Ai Pioppi*;2026-06-22;Mo;3;4;IT;https://coaster-count.com/catalogue/europe/italy/osteria-ai-pioppi-2936/coasters;https://rcdb.com/11665.htm;https://coaster.cloud/de/parks/8b0e144a-osteria-ai-pioppi;https://www.google.com/maps/place/Osteria+ai+Pioppi/@45.8432464,12.1781044,881m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47793da259fc8ab5:0x1ecea621b5735036!8m2!3d45.8432464!4d12.1806793!16s%2Fg%2F11f03_62gh?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcwNi4wIKXMDSoASAFQAw%3D%3D;https://www.aipioppi.com/it;https://www.facebook.com/aipioppiosteria/;https://www.instagram.com/osteriaaipioppi/;https://www.aipioppi.com/docs/mappa.pdf;https://www.hotel-bb.com/it/hotel/quarto-d-altino?utm_source=google&utm_medium=cpc&utm_campaign=IT_goo_Generic_Hotel&gad_source=1&gad_campaignid=22742215853&gbraid=0AAAAADrFk3T1K040hkAklARXcXFlmO141&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTpUGBXKRF_SgMOaO4Nf1W8944nkHNfZho7xZ9hDmAAhL2pYP-b9rnhoCzhgQAvD_BwE;https://www.google.com/maps/place/B%26B+HOTEL+Quarto+D'Altino/@45.580364,12.363406,796m/data=!3m1!1e3!4m10!3m9!1s0x47794cff909c0c0f:0x527ab99825a59925!5m3!1s2026-06-21!4m1!1i2!8m2!3d45.580364!4d12.363406!16s%2Fg%2F1v3gqr8l?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D;italien/priula-colfosco/IT8378869.html;https://wetter.com/italien/priula-colfosco/IT8378869.html;https://wetter.com/wetter_aktuell/wettervorhersage/morgen/italien/priula-colfosco/IT8378869.html;https://wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/italien/priula-colfosco/IT8378869.html;https://wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/italien/priula-colfosco/IT8378869.html;https://wetter.com/regenradar/italien/priula-colfosco/IT8378869.html
New Jesolandia;Tag 3 - Mo 22.06., New Jesolandia;2026-06-22;Mo;3;6;IT;https://coaster-count.com/catalogue/europe/italy/new-jesolandia-1831/coasters;https://rcdb.com/6359.htm;https://coaster.cloud/de/parks/550e2340-new-jesolandia;https://www.google.com/maps/place/45.507275,12.629857/@45.507275,12.629857,17z/data=!3m1!4b1!4m6!3m5!1s0x0:0x0!7e2!8m2!3d45.507275!4d12.629857;https://www.newjesolandia.com/news.php;https://www.facebook.com/sharer.php?u=https%3A%2F%2Fwww.newjesolandia.com%2Fnews.php&t=News%20-%20NEW%20JESOLANDIA;;;https://www.hotel-bb.com/it/hotel/quarto-d-altino?utm_source=google&utm_medium=cpc&utm_campaign=IT_goo_Generic_Hotel&gad_source=1&gad_campaignid=22742215853&gbraid=0AAAAADrFk3T1K040hkAklARXcXFlmO141&gclid=CjwKCAjw0dPRBhAPEiwAE5vTTpUGBXKRF_SgMOaO4Nf1W8944nkHNfZho7xZ9hDmAAhL2pYP-b9rnhoCzhgQAvD_BwE;https://www.google.com/maps/place/B%26B+HOTEL+Quarto+D'Altino/@45.580364,12.363406,796m/data=!3m1!1e3!4m10!3m9!1s0x47794cff909c0c0f:0x527ab99825a59925!5m3!1s2026-06-21!4m1!1i2!8m2!3d45.580364!4d12.363406!16s%2Fg%2F1v3gqr8l?entry=ttu&g_ep=EgoyMDI2MDYxNi4wIKXMDSoASAFQAw%3D%3D;italien/lido-di-jesolo/IT3174742.html;https://www.wetter.com/italien/lido-di-jesolo/IT3174742.html;https://www.wetter.com/wetter_aktuell/wettervorhersage/morgen/italien/lido-di-jesolo/IT3174742.html;https://www.wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/italien/lido-di-jesolo/IT3174742.html;https://www.wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/italien/lido-di-jesolo/IT3174742.html;https://www.wetter.com/regenradar/italien/lido-di-jesolo/IT3174742.html
Leolandia;Tag 4 - Di 23.06., Leolandia;2026-06-23;Di;4;4;IT;https://coaster-count.com/catalogue/europe/italy/leolandia-589/coasters;https://rcdb.com/5117.htm;https://coaster.cloud/de/parks/f7621c86-leolandia;https://www.google.com/maps/search/Leolandia/@45.6068287,9.5361703,885m/data=!3m2!1e3!4b1?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcwNi4wIKXMDSoASAFQAw%3D%3D;https://www.leolandia.it/en/;https://www.facebook.com/Leolandia/;https://www.instagram.com/leolandia_m/;https://www.leolandia.it/public/mappa/2026/03_Leomappa-2026-Regular_Season_sito.pdf;https://www.aohostels.com/en/milan/milano-ca-granda/;https://www.google.com/maps/place/a%26o+Milano+Ca+Granda/@45.5065535,9.194174,797m/data=!3m1!1e3!4m10!3m9!1s0x4786c732cbb3eeef:0x4efe54706b581b88!5m3!1s2026-06-21!4m1!1i2!8m2!3d45.5065498!4d9.1967489!16s%2Fg%2F11xmvx3d5x?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D;italien/brembate/IT0LO0066.html;https://wetter.com/italien/brembate/IT0LO0066.html;https://wetter.com/wetter_aktuell/wettervorhersage/morgen/italien/brembate/IT0LO0066.html;https://wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/italien/brembate/IT0LO0066.html;https://wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/italien/brembate/IT0LO0066.html;https://wetter.com/regenradar/italien/brembate/IT0LO0066.html
Euro Park Milano;Tag 4 - Di 23.06., Euro Park Milano;2026-06-23;Di;4;3;IT;https://coaster-count.com/catalogue/europe/italy/europark-milano-idroscalo-1429/coasters;https://rcdb.com/5957.htm;https://coaster.cloud/de/parks/787f8881-europark-milano-idroscalo;https://www.google.com/maps/place/Europark+Idroscalo+Milan/@45.4747236,9.282655,887m/data=!3m2!1e3!4b1!4m6!3m5!1s0x4786c8f26af51e8d:0x2a4e2c2f714ef21e!8m2!3d45.4747236!4d9.2852299!16s%2Fm%2F080mykb?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcwNi4wIKXMDSoASAFQAw%3D%3D;https://www.europarkmilano.com/;https://www.facebook.com/europarkmilanoidroscalo/;https://www.instagram.com/europarkmilano/;;https://www.aohostels.com/en/milan/milano-ca-granda/;https://www.google.com/maps/place/a%26o+Milano+Ca+Granda/@45.5065535,9.194174,797m/data=!3m1!1e3!4m10!3m9!1s0x4786c732cbb3eeef:0x4efe54706b581b88!5m3!1s2026-06-21!4m1!1i2!8m2!3d45.5065498!4d9.1967489!16s%2Fg%2F11xmvx3d5x?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D;italien/mailand/IT0LO0338.html;https://wetter.com/italien/mailand/IT0LO0338.html;https://wetter.com/wetter_aktuell/wettervorhersage/morgen/italien/mailand/IT0LO0338.html;https://wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/italien/mailand/IT0LO0338.html;https://wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/italien/mailand/IT0LO0338.html;https://wetter.com/regenradar/italien/mailand/IT0LO0338.html
Cavallino Matto;Tag 5 - Mi 24.06., Cavallino Matto;2026-06-24;Mi;5;6;IT;https://coaster-count.com/catalogue/europe/italy/cavallino-matto-634/coasters;https://rcdb.com/5162.htm;https://coaster.cloud/de/parks/bba48714-cavallino-matto;https://www.google.com/maps/place/FANTASIANA+Erlebnispark+Stra%C3%9Fwalchen/@47.98538,13.2722408,846m/data=!3m2!1e3!4b1!4m6!3m5!1s0x47742035b47f3ab5:0xb033e4cd2550feb0!8m2!3d47.98538!4d13.2748157!16s%2Fg%2F1tf3mr6g?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcwNi4wIKXMDSoASAFQAw%3D%3D;https://www.cavallinomatto.it/;https://www.facebook.com/cavallinomatto.it/;https://www.instagram.com/cavallinomattopark/;;https://www.hotelisolasacra.com/en/index.php;https://www.google.com/maps/place/Hotel+Isola+Sacra/@41.756582,12.2704515,848m/data=!3m1!1e3!4m10!3m9!1s0x1325f06b1996862f:0x9f0d30366de2ec4d!5m3!1s2026-06-21!4m1!1i2!8m2!3d41.756578!4d12.2730264!16s%2Fg%2F1hc1_vp3t?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D;italien/donoratico/IT0TO0104.html;https://wetter.com/italien/donoratico/IT0TO0104.html;https://wetter.com/wetter_aktuell/wettervorhersage/morgen/italien/donoratico/IT0TO0104.html;https://wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/italien/donoratico/IT0TO0104.html;https://wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/italien/donoratico/IT0TO0104.html;https://wetter.com/regenradar/italien/donoratico/IT0TO0104.html
MagicLand;Tag 6 - Do 25.06., MagicLand;2026-06-25;Do;6;5;IT;https://coaster-count.com/catalogue/europe/italy/magicland-1099/coasters;https://rcdb.com/5627.htm;https://coaster.cloud/de/parks/2d5fc020-magicland;https://www.google.com/maps/place/MagicLand/@41.764563,12.9524873,1279m/data=!3m1!1e3!4m6!3m5!1s0x13257cf6fb0231d5:0xdec8e583219cae8c!8m2!3d41.765255!4d12.9560359!16s%2Fg%2F1224bhzn?authuser=0&entry=ttu&g_ep=EgoyMDI1MDcwNi4wIKXMDSoASAFQAw%3D%3D;https://magicland.it/en;https://www.facebook.com/MagicLand.it/;https://www.instagram.com/magicland_ufficiale/;https://magicland.it/Content/Media/Mappa/Mappa_PARCO_2026_WEB.pdf;https://www.hotelisolasacra.com/en/index.php;https://www.google.com/maps/place/Hotel+Isola+Sacra/@41.756582,12.2704515,848m/data=!3m1!1e3!4m10!3m9!1s0x1325f06b1996862f:0x9f0d30366de2ec4d!5m3!1s2026-06-21!4m1!1i2!8m2!3d41.756578!4d12.2730264!16s%2Fg%2F1hc1_vp3t?entry=ttu&g_ep=EgoyMDI2MDYxMC4wIKXMDSoASAFQAw%3D%3D;italien/valmontone/IT0LA0187.html;https://wetter.com/italien/valmontone/IT0LA0187.html;https://wetter.com/wetter_aktuell/wettervorhersage/morgen/italien/valmontone/IT0LA0187.html;https://wetter.com/wetter_aktuell/wettervorhersage/3_tagesvorhersage/italien/valmontone/IT0LA0187.html;https://wetter.com/wetter_aktuell/wettervorhersage/7_tagesvorhersage/italien/valmontone/IT0LA0187.html;https://wetter.com/regenradar/italien/valmontone/IT0LA0187.html
